No.,State,County,Vul,Building Cost,Content Cost,Total Cost
1,Florida,Alachua,2,"$1,412,181 ","$392,480 ","$1,804,661 "
2,Florida,Baker,1,"$1,162,468 ","$324,067 ","$1,486,535 "
3,Florida,Bay,0,"$912,755 ","$255,654 ","$1,168,409 "
4,Florida,Bradford,2,"$1,412,181 ","$392,480 ","$1,804,661 "
5,Florida,Brevard,0,"$912,755 ","$255,654 ","$1,168,409 "
6,Florida,Broward,3,"$1,661,894 ","$460,893 ","$2,122,787 "
7,Florida,Calhoun,1,"$1,162,468 ","$324,067 ","$1,486,535 "
8,Florida,Charlotte,2,"$1,412,181 ","$392,480 ","$1,804,661 "
9,Florida,Citrus,1,"$1,162,468 ","$324,067 ","$1,486,535 "
10,Florida,Clay,1,"$1,162,468 ","$324,067 ","$1,486,535 "
11,Florida,Collier,3,"$1,661,894 ","$460,893 ","$2,122,787 "
12,Florida,Columbia,1,"$1,162,468 ","$324,067 ","$1,486,535 "
13,Florida,DeSoto,4,"$1,911,607 ","$529,306 ","$2,440,913 "
14,Florida,Dixie,3,"$1,661,894 ","$460,893 ","$2,122,787 "
15,Florida,Duval,2,"$1,412,181 ","$392,480 ","$1,804,661 "
16,Florida,Escambia,0,"$912,755 ","$255,654 ","$1,168,409 "
17,Florida,Flagler,0,"$912,755 ","$255,654 ","$1,168,409 "
18,Florida,Franklin,1,"$1,162,468 ","$324,067 ","$1,486,535 "
19,Florida,Gadsden,3,"$1,661,894 ","$460,893 ","$2,122,787 "
20,Florida,Gilchrist,1,"$1,162,468 ","$324,067 ","$1,486,535 "
21,Florida,Glades,4,"$1,911,607 ","$529,306 ","$2,440,913 "
22,Florida,Gulf,2,"$1,412,181 ","$392,480 ","$1,804,661 "
23,Florida,Hamilton,4,"$1,911,607 ","$529,306 ","$2,440,913 "
24,Florida,Hardee,4,"$1,911,607 ","$529,306 ","$2,440,913 "
25,Florida,Hendry,7,"$2,660,746 ","$734,545 ","$3,395,291 "
26,Florida,Hernando,0,"$912,755 ","$255,654 ","$1,168,409 "
27,Florida,Highlands,2,"$1,412,181 ","$392,480 ","$1,804,661 "
28,Florida,Hillsborough,1,"$1,162,468 ","$324,067 ","$1,486,535 "
29,Florida,Holmes,2,"$1,412,181 ","$392,480 ","$1,804,661 "
30,Florida,Indian River,1,"$1,162,468 ","$324,067 ","$1,486,535 "
31,Florida,Jackson,1,"$1,162,468 ","$324,067 ","$1,486,535 "
32,Florida,Jefferson,0,"$912,755 ","$255,654 ","$1,168,409 "
33,Florida,Lafayette,4,"$1,911,607 ","$529,306 ","$2,440,913 "
34,Florida,Lake,0,"$912,755 ","$255,654 ","$1,168,409 "
35,Florida,Lee,0,"$912,755 ","$255,654 ","$1,168,409 "
36,Florida,Leon,1,"$1,162,468 ","$324,067 ","$1,486,535 "
37,Florida,Levy,1,"$1,162,468 ","$324,067 ","$1,486,535 "
38,Florida,Liberty,2,"$1,412,181 ","$392,480 ","$1,804,661 "
39,Florida,Madison,2,"$1,412,181 ","$392,480 ","$1,804,661 "
40,Florida,Manatee,0,"$912,755 ","$255,654 ","$1,168,409 "
41,Florida,Marion,0,"$912,755 ","$255,654 ","$1,168,409 "
42,Florida,Martin,0,"$912,755 ","$255,654 ","$1,168,409 "
43,Florida,Miami-Dade,5,"$2,161,320 ","$597,719 ","$2,759,039 "
44,Florida,Monroe,2,"$1,412,181 ","$392,480 ","$1,804,661 "
45,Florida,Nassau,0,"$912,755 ","$255,654 ","$1,168,409 "
46,Florida,Okaloosa,0,"$912,755 ","$255,654 ","$1,168,409 "
47,Florida,Okeechobee,0,"$912,755 ","$255,654 ","$1,168,409 "
48,Florida,Orange,3,"$1,661,894 ","$460,893 ","$2,122,787 "
49,Florida,Osceola,4,"$1,911,607 ","$529,306 ","$2,440,913 "
50,Florida,Palm Beach,2,"$1,412,181 ","$392,480 ","$1,804,661 "
51,Florida,Pasco,0,"$912,755 ","$255,654 ","$1,168,409 "
52,Florida,Pinellas,1,"$1,162,468 ","$324,067 ","$1,486,535 "
53,Florida,Polk,0,"$912,755 ","$255,654 ","$1,168,409 "
54,Florida,Putnam,2,"$1,412,181 ","$392,480 ","$1,804,661 "
55,Florida,St. Johns,0,"$912,755 ","$255,654 ","$1,168,409 "
56,Florida,St. Lucie,0,"$912,755 ","$255,654 ","$1,168,409 "
57,Florida,Santa Rosa,0,"$912,755 ","$255,654 ","$1,168,409 "
58,Florida,Sarasota,1,"$1,162,468 ","$324,067 ","$1,486,535 "
59,Florida,Seminole,0,"$912,755 ","$255,654 ","$1,168,409 "
60,Florida,Sumter,1,"$1,162,468 ","$324,067 ","$1,486,535 "
61,Florida,Suwannee,2,"$1,412,181 ","$392,480 ","$1,804,661 "
62,Florida,Taylor,2,"$1,412,181 ","$392,480 ","$1,804,661 "
63,Florida,Union,3,"$1,661,894 ","$460,893 ","$2,122,787 "
64,Florida,Volusia,0,"$912,755 ","$255,654 ","$1,168,409 "
65,Florida,Wakulla,0,"$912,755 ","$255,654 ","$1,168,409 "
66,Florida,Walton,0,"$912,755 ","$255,654 ","$1,168,409 "
67,Florida,Washington,2,"$1,412,181 ","$392,480 ","$1,804,661 "
